"filename", "language", "YAML", "Python", "C++", "Docker", "Shell Script", "Properties", "CMake", "Makefile", "CMake Cache", "TypeScript", "C", "pip requirements", "WebAssembly Text Format", "JSON", "comment", "blank", "total"
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/divide2/create_img.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/divide2/main.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/exec.py", "Python", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 19
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/main.py", "Python", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/matmul/Dockerfile", "Docker", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/matmul/create_img.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/matmul/main.py", "Python", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/merge/Dockerfile", "Docker", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/merge/create_img.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/merge/main.py", "Python", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/prime/Dockerfile", "Docker", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/prime/create_img.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/prime/main.py", "Python", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/reverse/Dockerfile", "Docker", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/reverse/create_img.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/reverse/main.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/simple_func/Dockerfile", "Docker", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/simple_func/create_img.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/simple_func/main.py", "Python", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/sleep/Dockerfile", "Docker", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/sleep/create_img.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/sleep/main.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/spectral_norm/Dockerfile", "Docker", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/spectral_norm/cfile/main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 1, 9, 75
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/spectral_norm/create_img.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/spectral_norm/main.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 26
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/spectral_norm_py/Dockerfile", "Docker", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/spectral_norm_py/create_img.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/spectral_norm_py/main.py", "Python", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 41
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/string_fetch/Dockerfile", "Docker", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/string_fetch/create_img.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/string_fetch/main.py", "Python", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/sum/Dockerfile", "Docker", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/sum/create_img.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/sum/main.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/times2/Dockerfile", "Docker", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/times2/create_img.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/ash/wasm/wasm-serverless/python/dockerFunctions/functions/times2/main.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
